id,name
74,Harvard Square at Mass Ave/ Dunster
22,South Station - 700 Atlantic Ave
387,7 Acre Park
139,Dana Park
103,JFK Crossing at Harvard St. / Thorndike St.
227,Silber Way
334,Mass Ave at Hadley/Walden
90,Lechmere Station at Cambridge St / First St
99,Wilson Square
55,Boylston St at Massachusetts Ave
327,Main St at Thompson Sq
380,Mass Ave at Albany St
41,Packard's Corner - Commonwealth Ave at Brighton Ave
15,Brighton Mills - 370 Western Ave
105,Lower Cambridgeport at Magazine St / Riverside Rd
89,Harvard Law School at Mass Ave / Jarvis St
221,Verizon Innovation Hub 10 Ware Street
374,Tremont St at Hamilton Pl
20,Aquarium T Stop - 200 Atlantic Ave
97,Harvard University River Houses at DeWolfe St / Cowperthwaite St
149,175 N Harvard St
58,Mugar Way at Beacon St
73,Harvard Square at Brattle St / Eliot St
115,Porter Square Station
23,Boston City Hall - 28 State St
78,Union Square - Somerville
37,New Balance - 20 Guest St
84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd
191,Tappan St at Brookline Hills MBTA
17,Soldiers Field Park - 111 Western Ave
67,MIT at Mass Ave / Amherst St
183,Alewife MBTA at Steel Place
9,Commonwealth Ave at Agganis Way
157,Seaport Blvd at Sleeper St
49,Stuart St at Charles St
60,Charles Circle - Charles St at Cambridge St
208,Oak Square - 615 Washington St
190,Nashua Street at Red Auerbach Way
10,B.U. Central - 725 Comm. Ave.
35,Arch St at Franklin St
163,The Lawn on D
95,Cambridge St - at Columbia St / Webster Ave
113,Andrew T Stop - Dorchester Ave at Dexter St
141,Kendall Street
180,Mt Auburn
193,Brookline Town Hall
369,Boston Public Market
104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St
54,Tremont St at West St
108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St
213,East Boston Neighborhood Health Center - 20 Maverick Square
70,Harvard Kennedy School at Bennett St / Eliot St
357,Centre St at Seaverns Ave
50,Boylston St at Berkeley St
351,Faneuil St at Arlington St
33,Kenmore Square
7,Fan Pier
120,Beacon St at Charles St
122,Burlington Ave at Brookline Ave
110,Harvard University Gund Hall at Quincy St / Kirkland St
181,Huron Ave At Vassal Lane
57,Massachusetts Ave at Columbus Ave
159,S Huntington Ave at Heath St
36,Copley Square - Dartmouth St at Boylston St
186,Congress St at Northern Ave
354,Washington St at Egremont Rd
52,Newbury St at Hereford St
46,Christian Science Plaza - Massachusetts Ave at Westland Ave
42,Boylston St at Arlington St
31,Seaport Hotel - Congress St at Seaport Ln
160,Wentworth Institute of Technology - Huntington Ave at Vancouver St
146,Murphy Skating Rink - 1880 Day Blvd
98,Warren St at Chelsea St
39,Washington St at Rutland St
124,Curtis Hall - South St at Centre St
179,MIT Vassar St
68,Central Square at Mass Ave / Essex St
224,Fresh Pond Reservation
218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd
107,Ames St at Main St
152,Ink Block - Harrison Ave at Herald St
40,Lewis Wharf at Atlantic Ave
61,Boylston St at Fairfield St
79,Beacon St at Washington / Kirkland
342,Boylston St at Jersey St
182,Museum of Science
352,Ring Rd
19,Park Dr at Buswell St
177,University Park
71,Conway Park - Somerville Avenue
370,Dartmouth St at Newbury St
384,Clarendon St at Newbury St
26,Washington St at Waltham St
53,Beacon St at Massachusetts Ave
76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St
87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace
151,Surface Rd at India St
125,Hyde Square - Barbara St at Centre St
133,Green Street T Stop - Green St at Amory St
335,Harvard St at Greene-Rose Heritage Park
372,Boylston St at Exeter St
359,One Brigham Circle
21,Prudential Center - 101 Huntington Ave
100,Davis Square
16,Back Bay T Stop - Dartmouth St at Stuart St
185,Third at Binney
145,Rindge Avenue - O'Neill Library
14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave
80,MIT Stata Center at Vassar St / Main St
11,Longwood Ave at Binney St
345,Park Plaza at Charles St S.
109,West End Park
66,Commonwealth Ave at Griggs St
48,Post Office Square
333,699 Mt Auburn St
131,Jackson Square T Stop
6,Cambridge St at Joy St
225,Cambridge Dept. of Public Works -147 Hampshire St.
176,Lesley University
161,W Broadway at D St
358,Medford St at Charlestown BCYF
173,Savin Hill T Stop - S Sydney St at Bay St
174,Washington St at Brock St
365,Harrison Ave at Bennet St
329,Washington St at Myrtle St
279,Williams St at Washington St
206,Government Center - Cambridge St at Court St
236,Assembly Square T
189,Kendall T
3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur
8,Union Square - Brighton Ave at Cambridge St
371,700 Huron Ave
86,Brookline Village - Station Street at MBTA
4,Tremont St at E Berkeley St
81,Chinatown T Stop
75,Lafayette Square at Mass Ave / Main St / Columbia St
197,MLK Blvd at Washington St
366,Broadway T Stop
30,Brigham Circle - Francis St at Huntington Ave
233,St Mary's
12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd
143,EF - North Point Park
346,Cleveland Circle
43,Rowes Wharf at Atlantic Ave
376,Honan Library
332,Harvard Ave at Brainerd Rd
82,Beacon St at Tappan St
175,Brighton Center - Washington St at Cambridge St
111,Packard Ave at Powderhouse Blvd
364,Tremont St at Northampton St
344,Commonwealth Ave at Chiswick Rd
318,Ames St at Broadway
25,South End Library - Tremont St at W Newton St
204,Walnut Ave at Warren St
178,MIT Pacific St at Purrington St
319,84 Cambridgepark Dr
116,359 Broadway - Broadway at Fayette Street
363,Harrison Ave at Mullins Way
280,Main St at Baldwin St
91,One Kendall Square at Hampshire St / Portland St
188,Foss Park
69,Coolidge Corner - Beacon St at Centre St
140,Danehy Park
328,Grove St at Community Path
